PIA1.93
09 Mar 2020	17:44
PIEZO TYPE	PI 15 um
COMMENTS	
SCAN TYPE	Z scan at fixed X	X scan at fixed Z	Z scan at fixed X	Z scan at fixed X	Z scan at fixed X	X scan at fixed Z	Z scan at fixed X
VERTICAL WAVEFORM	custom
LATERAL WAVEFORM	custom
SCAN STEPS	Down	Front	Down	Pause	Up	Back	Down
SCAN SPEED [nm/sec]	125000	125000	125000	0	125000	250000	250000
PAUSE [sec]	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000
CHANNELS	vertical deflection, lateral deflection
NUMBER OF FORCE CURVES	1
POINTS PER CURVE	3584
SCAN RATE [Hz]	0.833328	1.249988	12.498750	1.000000	0.480769	2.499975	2.500000
TRIGGER TYPE	no trigger
CANTILEVER NAME	
CANTILEVER TYPE	0
RESONANT FREQUENCY	0.000000
VERTICAL SPRING CONSTANT [N/m]	0.000000
VERTICAL CALIBRATION COEFFICIENT [µN/V]	1.000000
OPTIC SENSOR FORCE-VOLTAGE RELATION [µN]	0+(-3.464847548173025E+3*x^0)+(4.166399346689978E+3*x^1)+(-4.272509255274562E+3*x^2)+(3.126702697620634E+3*x^3)+(-1.353651158969758E+3*x^4)+(3.443961871035622E+2*x^5)+(-4.749887193466130E+1*x^6)+(2.766192854606011E+0*x^7)
FRAME RATE [Hz]	29.999985
NUMBER OF FRAMES	36	23	2	29	62	12	12
PIEZO Z [nm]	PIEZO X [nm]	Time [s]	VERTICAL DEF	LATERAL DEF	AUX DEF
168701.20312500	200005.48437500	0.54965568	3.01033020	-0.07247925	NaN
168994.17187500	200005.48437500	0.55200028	3.00945282	-0.07328033	NaN
169287.14062500	200005.48437500	0.55434483	3.00727844	-0.08117676	NaN
169580.12500000	200005.48437500	0.55668944	3.01204681	-0.07144928	NaN
169873.09375000	200005.48437500	0.55903399	3.01078796	-0.07766724	NaN
170166.06250000	200005.48437500	0.56137854	3.01074982	-0.07381439	NaN
170459.03125000	200005.48437500	0.56372315	3.01166534	-0.09307861	NaN
170752.00000000	200005.48437500	0.56606770	3.01189423	-0.08312225	NaN
171044.96875000	200005.48437500	0.56841230	3.01139832	-0.07492065	NaN
171337.93750000	200005.48437500	0.57075685	3.01109314	-0.07514954	NaN
171630.92187500	200005.48437500	0.57310140	3.01181793	-0.07640839	NaN
171923.87500000	200005.48437500	0.57544601	3.00792694	-0.07595062	NaN
172216.84375000	200005.48437500	0.57779056	3.01063538	-0.07541656	NaN
172509.81250000	200005.48437500	0.58013517	3.01006317	-0.07484436	NaN
172802.78125000	200005.48437500	0.58247972	3.01113129	-0.07617950	NaN
173095.75000000	200005.48437500	0.58482426	3.01094055	-0.08541107	NaN
173388.73437500	200005.48437500	0.58716887	3.01101685	-0.08171082	NaN
173681.70312500	200005.48437500	0.58951342	3.01017761	-0.07190704	NaN
173974.67187500	200005.48437500	0.59185803	3.00914764	-0.07289886	NaN
174267.65625000	200005.48437500	0.59420258	3.00891876	-0.08037567	NaN
174560.62500000	200005.48437500	0.59654713	3.01113129	-0.07247925	NaN
174853.59375000	200005.48437500	0.59889174	3.00910950	-0.07831573	NaN
175146.56250000	200005.48437500	0.60123628	3.00991058	-0.07408142	NaN
175439.53125000	200005.48437500	0.60358089	3.01177979	-0.08296967	NaN
175732.50000000	200005.48437500	0.60592544	3.01094055	-0.08216858	NaN
176025.46875000	200005.48437500	0.60826999	3.01120758	-0.07656097	NaN
176318.45312500	200005.48437500	0.61061460	3.01063538	-0.07476807	NaN
176611.40625000	200005.48437500	0.61295915	3.00922394	-0.07434845	NaN
176904.37500000	200005.48437500	0.61530375	3.01387787	-0.07938385	NaN
177197.34375000	200005.48437500	0.61764830	3.01193237	-0.07507324	NaN
177490.31250000	200005.48437500	0.61999285	3.00933838	-0.07659912	NaN
177783.29687500	200005.48437500	0.62233746	3.01204681	-0.07556915	NaN
178076.26562500	200005.48437500	0.62468201	3.01223755	-0.09773254	NaN
178369.21875000	200005.48437500	0.62702662	3.01139832	-0.08380890	NaN
178662.20312500	200005.48437500	0.62937117	3.00949097	-0.07068634	NaN
178955.18750000	200005.48437500	0.63171571	3.00922394	-0.07308960	NaN
